"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm15478",1.17327000655144e-51,0.344488458764777,0.718,0.45,2.98268701065507e-47
"Large1",1.2584187199085e-51,0.346051749011248,0.997,0.982,3.19915206975139e-47
"Myo1e",1.27077489052116e-51,0.320410813960404,0.353,0.134,3.23056392668289e-47
"Unc13b",1.55600715867498e-51,0.557788948317421,0.877,0.748,3.95568139878353e-47
"Lpgat1",2.34940081061084e-51,0.39820255580585,0.895,0.725,5.97264674073488e-47
"Ghitm",2.44156589197133e-51,0.310230791619226,0.435,0.2,6.2069488105695e-47
"Ids",2.85058545981738e-51,0.310055068294463,0.501,0.254,7.24675835594773e-47
"Tjp2",3.86647768001666e-51,0.250500514501279,0.284,0.086,9.82935955813835e-47
"Ppp1r1b",4.05288151907961e-51,0.269768696226603,0.267,0.077,1.03032353978042e-46
"Csnk1g3",4.48200758412046e-51,0.380768166625207,0.909,0.758,1.1394159680351e-46
"Gm13889",4.97477142253863e-51,0.266671221189623,0.227,0.052,1.26468639103777e-46
"A430090L17Rik",6.39735862645355e-51,0.356633874378918,0.43,0.199,1.62633651001702e-46
"Yap1",6.7748532121446e-51,0.256801797098986,0.272,0.081,1.7223031835914e-46
"Cltb",7.84842120114812e-51,0.311583900395969,0.663,0.404,1.99522563775587e-46
"Slc25a48",9.68196584253279e-51,0.358159387994985,0.123,0,2.46134935648869e-46
"Rap1b",1.95852523617736e-50,0.311026374967374,0.678,0.407,4.97896285541008e-46
"Abcc4",1.9676121386569e-50,0.406751723916532,0.398,0.183,5.00206357889356e-46
"D930020B18Rik",2.05421866831541e-50,0.362443250951698,0.145,0.01,5.22223469859145e-46
"Atp6v1h",4.36549479752793e-50,0.371052760008658,0.864,0.687,1.10979608742755e-45
"Tuba4a",4.91526572761234e-50,0.312054290128904,0.524,0.265,1.24955885327361e-45
"Pde8b",5.47840686003188e-50,0.453042438977679,0.888,0.79,1.39272059195731e-45
"Atp5f1",5.84003538857139e-50,0.322089933352559,0.629,0.373,1.48465379648262e-45
"Pcnx4",6.08170802384885e-50,0.282383555747011,0.462,0.219,1.54609181382285e-45
"Clu",6.59431138162518e-50,0.370653180023475,0.414,0.191,1.67640583943675e-45
"Gm6994",6.72233717993083e-50,0.460670072198865,0.561,0.328,1.70895255788202e-45
"Otud1",8.46308813912362e-50,0.266566189324281,0.223,0.052,2.15148626672801e-45
"Rabgef1",9.99033875047352e-50,0.286549370734172,0.542,0.289,2.53974391714538e-45
"Kif1a",1.01375127137917e-49,0.296261537074481,0.926,0.787,2.57715848210013e-45
"Ciapin1",1.13084867637593e-49,0.280808290397096,0.487,0.243,2.87484350508288e-45
"Uvrag",1.172500807344e-49,0.370179437888046,0.857,0.692,2.98073155242991e-45
"Phkg1",1.59997865555338e-49,0.270999870820373,0.218,0.048,4.0674657381478e-45
"Mafb",1.80230136598323e-49,0.254964781865056,0.148,0.012,4.58181053260256e-45
"Dysf",2.12108871237872e-49,0.342917927757672,0.216,0.052,5.39223172460917e-45
"Hipk3",3.35915810199467e-49,0.405313504831028,0.756,0.528,8.53965172689086e-45
"Xkr6",3.50248529080226e-49,0.678082668970499,0.763,0.597,8.9040181062775e-45
"Tpi1",3.63463645840647e-49,0.298510034721869,0.528,0.275,9.23997280456092e-45
"Slc7a1",3.644935917867e-49,0.297587163344318,0.494,0.248,9.26615609040148e-45
"Ankrd10",4.32077872487507e-49,0.453187825275283,0.723,0.509,1.09842836743774e-44
"Gad2",5.16569119699144e-49,0.313960553360681,0.213,0.048,1.31322201609916e-44
"Parp16",5.80667599043475e-49,0.392025370909983,0.181,0.031,1.47617317028832e-44
"Plcxd2",6.02850246850452e-49,0.386707702661932,0.416,0.189,1.53256589754322e-44
"Ndufb9",9.31232251818975e-49,0.261726200116764,0.47,0.225,2.3673786305742e-44
"Dpysl5",1.1845921270773e-48,0.325609384628351,0.333,0.128,3.01147010545591e-44
"Cep83",1.43382096208395e-48,0.361757364036115,0.8,0.57,3.64505964980982e-44
"0610012G03Rik",1.9126815940812e-48,0.252942572513244,0.381,0.16,4.86241914847323e-44
"Arhgef3",3.38621845511965e-48,0.430897731393727,0.727,0.488,8.60844455660518e-44
"Slc7a4",4.03033442929284e-48,0.253674665427704,0.364,0.147,1.02459161861483e-43
"Uck2",4.95410695694527e-48,0.303583804840539,0.581,0.331,1.25943307059463e-43
"Lgr4",7.31650087470288e-48,0.41023301937831,0.576,0.345,1.86000085236697e-43
"Mapre1",8.65351106703182e-48,0.271384516748965,0.552,0.301,2.19989558346083e-43
"Cacna1a",1.02640344658713e-47,0.289059099905731,0.998,0.996,2.60932284191381e-43
"4930567K12Rik",2.48426772252631e-47,0.260118093901084,0.457,0.223,6.31550540420639e-43
"Rbm28",2.51487650520622e-47,0.320681489348416,0.834,0.624,6.39331905153524e-43
