"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sh3gl2",3.78321676403532e-103,0.529089020706424,0.979,0.932,9.61769365753059e-99
"Taf15",4.15807282270697e-103,0.47425185973347,0.866,0.656,1.05706527298857e-98
"Necab2",9.1079662363619e-103,0.392301375803913,0.342,0.066,2.31542717660792e-98
"Slc16a10",1.01960625867962e-102,0.618524709604754,0.556,0.247,2.59204303081534e-98
"Mybpc1",1.31340723215864e-102,0.922486796075914,0.243,0.007,3.3389438655937e-98
"Ccnf",4.44756317904429e-102,0.357590623232914,0.328,0.055,1.13065951137664e-97
"Snta1",8.25729543892696e-102,0.487031014719148,0.625,0.323,2.09916964648401e-97
"Tcte1",2.44639109745359e-101,0.386155472725732,0.287,0.032,6.21921544794651e-97
"Iffo1",3.09739076186363e-101,0.460575194510854,0.611,0.3,7.87418679480973e-97
"Abcc4",1.60732674625424e-100,0.466622825533653,0.482,0.183,4.08614605432752e-96
"Galnt11",2.64797226954806e-100,0.482378133657876,0.832,0.614,6.73167510364508e-96
"Ap2a2",6.61932037293228e-99,0.498734040798882,0.771,0.501,1.68276362520684e-94
"Pgbd5",7.04785047927548e-99,0.533942753114113,0.85,0.67,1.79170454884141e-94
"Ccdc141",7.63063464266874e-99,0.403766831415306,0.291,0.039,1.93985993885925e-94
"Gadd45b",1.02488686867602e-98,0.381708117811308,0.384,0.1,2.60546739754817e-94
"Kcnq1ot1",1.1920745346636e-98,0.46300856471588,0.976,0.932,3.03049188202181e-94
"St6galnac3",1.13620764891315e-96,0.991217336604129,0.787,0.625,2.888467085067e-92
"Pcsk5",1.49044174398645e-96,0.80001547951899,0.636,0.335,3.78900100156237e-92
"Svop",3.31462194183245e-96,0.4671336290661,0.899,0.728,8.42643190052645e-92
"Gpr45",4.03861214996169e-95,0.510799944220834,0.723,0.446,1.02669598076326e-90
"6430548M08Rik",8.89259869669913e-95,0.444064446168846,0.633,0.333,2.26067644067485e-90
"Brinp1",1.04530183759922e-94,0.533674114331787,0.987,0.959,2.65736633154474e-90
"Syt6",3.33624686179369e-93,0.613784715692468,0.376,0.101,8.48140677205193e-89
"Rasa4",7.56287826376301e-93,0.344667610031889,0.257,0.025,1.92263491221383e-88
"Ksr1",3.10662870608073e-92,0.473822811938731,0.663,0.373,7.89767149659844e-88
"Tcf25",5.23032753245251e-92,0.437077764382209,0.905,0.752,1.32965386530008e-87
"Zfr",1.04991635613028e-91,0.420521664128344,0.957,0.887,2.66909736055439e-87
"Ttc28",1.44002168543892e-91,0.636089868431433,0.507,0.229,3.66082312872282e-87
"Bms1",2.57709541474409e-90,0.406281348917216,0.605,0.316,6.55149196336242e-86
"March11",6.70964915563744e-90,0.510623952336763,0.66,0.389,1.70572700834615e-85
"Abca17",1.06953024635017e-89,0.347201763326716,0.303,0.057,2.71895979227141e-85
"Aff1",1.97001528539732e-89,0.362511675422389,0.379,0.11,5.00817285853706e-85
"Slc25a36",4.41810349843891e-89,0.456370413608883,0.815,0.567,1.12317027137314e-84
"Sipa1l3",7.24669048065477e-89,0.53811610238395,0.664,0.414,1.84225365399206e-84
"Xylt1",8.33496620539726e-89,0.424400151896803,0.953,0.811,2.11891510873609e-84
"Cpne5",8.63057590394637e-89,0.575881304199604,0.537,0.259,2.19406500630125e-84
"Gm11549",1.11387833231282e-88,0.407000601093677,0.381,0.117,2.83170149640564e-84
"Nebl",1.61769536557251e-88,0.609930820408972,0.869,0.683,4.11250515835843e-84
"Itga11",3.83881165857259e-88,0.403307864981441,0.389,0.121,9.75902699842323e-84
"Atp2c2",3.86189046627119e-88,0.274056249947868,0.217,0.008,9.81769794335463e-84
"Hdac4",5.09134929923447e-88,0.573196665783788,0.826,0.643,1.29432281885139e-83
